ID,type,$\nabla V$,$D_{TMSD}$,$v_{TMSD}$,$K_{\alpha}$,$\alpha_{TMSD}$,$v_{mean}$,$D_{v}$,$a_{v}$,$D_{\theta}$,$a_{\theta}$,$\tau$,$\beta$,$\alpha_{1}$,$\alpha_{2}$
BT13A-3,3,RW,9.62,1.22,9.27,1.46,2.19,0.0018,0.0,0.5305,0.0156,30.92,-0.35,1.72,0.68
BT13A-4,3,RW,6.14,0.97,6.15,1.45,1.78,0.0021,0.0009,0.9701,0.019,0.3,-1.03,1.1,0.59
BT13B-1,3,RW,12.0725,1.36,-4.11,0.0,2.68,0.0055,0.0013,2.452,0.0165,376.49,0.78,1.5,0.74
BT13B-2,3,WF,11.815,1.29,-4.13,0.0,2.33,0.0027,0.0,5.148,0.0007,0.18,-1.33,1.21,0.84
BT13B-3,3,WF,7.98,1.13,4.85,1.59,1.67,0.0012,0.0,2.0763,0.0038,0.0,-1.8,0.49,0.33
BT13B-4,3,WF,7.175,1.08,5.27,1.55,1.84,0.0021,0.001,7.2133,0.0061,0.0,-2.01,0.56,0.29
BT14A-1,3,RW,6.885,0.94,12.11,1.3,2.4,0.0034,0.0008,2.2831,0.0142,242.25,0.45,1.82,0.93
BT14A-2,3,IB,0.0125,0.0,0.06,1.03,1.11,0.0,0.0024,29.7642,0.0022,2.21e+162,58.32,0.0,0.0
BT14A-3,3,GF,2.2775,0.59,3.13,1.38,2.04,0.0063,0.005,2.6944,0.0181,4.88e+04,4.34,1.29,0.05
BT14A-4,3,GF,1.7275,0.51,2.08,1.41,1.99,0.0048,0.0065,0.2529,0.0054,7.87e+03,8.14,1.36,-0.0
BT14B-1,3,IB,1.4425,0.4,2.42,1.28,1.67,0.0028,0.004,115.7583,0.0083,226.04,-0.08,1.98,0.77
BT14B-2,3,RW,1.0975,0.31,1.96,1.23,1.51,0.0027,0.0038,42.3353,0.005,6.12e+03,0.59,1.81,-0.25
